5.660000,74.154030,100.047053,180.046550,133.232472,-0.159509,1.806689,0.000128,0.533036
5.670000,72.008922,103.913281,180.035406,137.878105,-0.022316,0.142038,-0.000150,1.672064
5.680000,68.954819,106.094251,180.020370,143.665395,-0.005593,0.020791,-0.000302,1.755237
5.690000,65.734456,107.448606,180.017473,149.447047,-0.001481,0.005273,-0.000376,1.769872
5.700000,62.173076,107.726491,179.995083,155.233713,-0.000174,0.001386,-0.000410,1.774014
5.710000,61.026424,108.847825,177.799421,161.015006,0.000282,0.000142,-0.000138,1.775411
5.720000,61.124798,109.798783,174.138031,166.783576,0.000446,-0.000293,1.067212,1.775914
5.730000,61.144570,112.957195,179.484442,172.555332,0.000506,-0.000450,0.073295,1.775574
5.740000,61.552897,115.156623,180.003227,178.314188,0.000528,-0.000508,0.012687,0.393547
5.750000,61.471712,117.040512,179.992411,180.148779,0.000536,-0.000529,0.003347,0.037332
5.760000,61.103807,118.515455,179.921406,179.998058,0.000539,-0.000536,0.000842,0.008870
5.770000,61.154321,118.866343,178.695969,179.993853,0.000540,-0.000539,0.000065,0.003067
5.780000,61.152503,118.818012,177.694741,180.008623,0.000541,-0.000540,0.000107,0.001343
5.790000,61.142821,118.810404,177.219561,180.014528,0.000541,-0.000541,0.000717,0.000757
5.800000,61.151019,118.779088,177.169123,180.007322,0.000541,-0.000541,0.001055,0.000547
5.810000,61.170714,118.747912,177.204296,180.015910,0.000541,-0.000541,0.001106,0.000471
5.820000,61.170851,118.666704,177.237639,180.027284,0.000541,-0.000541,0.001057,0.000443
5.830000,61.162863,118.526740,177.268917,180.006103,0.000541,-0.000541,0.000980,0.000433
5.840000,61.181076,118.366589,177.310489,180.010859,0.000541,-0.000541,0.000880,0.000429
5.850000,61.184055,118.146490,177.331889,180.014038,0.000541,-0.000541,0.000808,0.000427
5.860000,61.218094,117.900126,177.334114,180.004912,0.000541,-0.000541,0.000778,0.000427
5.870000,61.250057,117.635652,177.371456,179.991698,0.000541,-0.000541,0.000711,0.000427
5.880000,61.254410,117.316455,177.376189,179.978321,0.000541,-0.000541,0.000679,0.000427
5.890000,61.279705,117.004926,177.376486,179.972667,0.000541,-0.000541,0.000667,0.000427
5.900000,61.277208,116.666754,177.408329,179.974238,0.000541,-0.000541,0.000618,0.000427
5.910000,61.297214,116.276554,177.414897,179.997053,0.000541,-0.000541,0.000591,0.000427
5.920000,61.291436,115.877874,177.439367,180.005229,0.000541,-0.000541,0.000550,0.000427
5.930000,61.290503,115.432589,177.442454,180.012786,0.000541,-0.000541,0.000531,0.000427
5.940000,61.297330,114.969080,177.457979,180.012230,0.000541,-0.000541,0.000505,0.000427
5.950000,61.316765,114.509720,177.464980,180.032333,0.000541,-0.000541,0.000487,0.000427
5.960000,61.345978,114.010398,177.496595,180.033077,0.000541,-0.000541,0.000443,0.000426
5.970000,61.371874,113.530738,177.516727,180.034514,0.000541,-0.000541,0.000405,0.000426
5.980000,61.372860,113.012662,177.504532,180.049459,0.000541,-0.000541,0.000405,0.000426
5.990000,61.363778,112.491366,177.504124,180.047762,0.000541,-0.000541,0.000405,0.000426
6.000000,61.388018,111.979088,177.535092,180.029629,0.000541,-0.000541,0.000372,0.000426
6.010000,61.397982,111.453847,177.541945,180.009610,0.000541,-0.000541,0.000353,0.000427
6.020000,61.389915,110.952830,177.552888,180.005167,0.000541,-0.000541,0.000335,0.000427
6.030000,61.377200,110.435469,177.571667,179.995460,0.000541,-0.000541,0.000310,0.000427
6.040000,61.387608,109.910831,177.597381,179.980140,0.000541,-0.000541,0.000277,0.000427
6.050000,61.412083,109.438650,177.617848,179.979893,0.000541,-0.000541,0.000247,0.000427
6.060000,61.435764,108.919478,177.629745,179.964786,0.000541,-0.000541,0.000225,0.000427
6.070000,61.438553,108.442933,177.615730,179.987687,0.000541,-0.000541,0.000230,0.000427
6.080000,61.449180,107.992719,177.604302,179.975108,0.000541,-0.000541,0.000241,0.000427
6.090000,61.451251,107.514366,177.593073,179.972255,0.000541,-0.000541,0.000256,0.000427
6.100000,61.440760,107.070306,177.582574,179.980415,0.000541,-0.000541,0.000271,0.000427
6.110000,61.436713,106.645704,177.587796,179.970391,0.000541,-0.000541,0.000271,0.000427
6.120000,61.447179,106.285894,177.591019,179.950769,0.000541,-0.000541,0.000269,0.000427
6.130000,61.460827,105.934557,177.580045,179.933295,0.000541,-0.000541,0.000278,0.000428
6.140000,61.476826,105.596840,177.604361,179.929768,0.000541,-0.000541,0.000259,0.000428
6.150000,61.477366,105.298263,177.599640,179.916494,0.000541,-0.000541,0.000256,0.000428
6.160000,61.497609,105.045347,177.594981,179.931757,0.000541,-0.000541,0.000259,0.000428
6.170000,61.519382,104.807317,177.588561,179.930349,0.000541,-0.000541,0.000266,0.000428
6.180000,61.540915,104.617573,177.607076,179.930274,0.000541,-0.000541,0.000252,0.000428
6.190000,61.566358,104.470461,177.629379,179.921971,0.000541,-0.000541,0.000228,0.000428
6.200000,61.572541,104.385754,177.617131,179.934809,0.000541,-0.000541,0.000229,0.000428
6.210000,61.595245,104.322333,177.606791,179.948349,0.000541,-0.000541,0.000239,0.000428
6.220000,61.597642,104.298042,177.634333,179.959509,0.000541,-0.000541,0.000219,0.000427
6.230000,61.608674,104.274214,177.627864,179.963425,0.000541,-0.000541,0.000217,0.000427
6.240000,61.611764,104.279386,177.628514,179.945871,0.000541,-0.000541,0.000215,0.000427
6.250000,61.608279,104.270646,177.641279,179.939417,0.000541,-0.000541,0.000204,0.000428
