6.55,62.398,104.32,180.02,180.01,0.000541,-0.000541,-0.000437,0.000427
6.552,62.398,104.42,180.02,180.01,0.24105,-0.24105,-0.19728,0.00056374
6.554,62.399,104.48,180.03,180,0.4751,-0.4751,-0.38881,0.00068937
6.556,62.401,104.51,180.03,180,0.7024,-0.7024,-0.57478,0.00080004
6.558,62.404,104.52,180.03,180,0.92261,-0.92261,-0.75493,0.00089187
6.56,62.407,104.52,180.03,180,1.1354,-1.1354,-0.92898,0.000961
6.562,62.688,104.35,179.61,180,1.3659,-1.366,-1.1177,0.0010138
6.564,63.399,103.92,178.55,180,1.6149,-1.615,-1.3216,0.0010594
6.566,64.355,103.31,177.11,180,1.8454,-1.8456,-1.5103,0.0010978
6.568,65.374,102.63,175.59,180,2.0206,-2.0208,-1.6535,0.0011289
6.57,66.269,101.97,174.25,180.01,2.1038,-2.1038,-1.7206,0.001153
6.572,67.044,101.31,173.09,180.01,2.126,-2.126,-1.7377,0.0011723
6.574,67.819,100.55,171.93,180.01,2.1433,-2.1435,-1.7512,0.001189
6.576,68.594,99.744,170.78,180.01,2.1561,-2.1564,-1.7611,0.0012031
6.578,69.368,98.925,169.62,180.01,2.1649,-2.165,-1.7677,0.0012144
6.58,70.14,98.13,168.47,180.01,2.1702,-2.1694,-1.771,0.001223
6.582,70.909,97.359,167.31,180.01,2.1736,-2.1715,-1.7726,0.0012301
6.584,71.675,96.587,166.16,180.01,2.1763,-2.1733,-1.7739,0.0012366
6.586,72.44,95.814,165,180.01,2.1784,-2.1746,-1.7748,0.001242
6.588,73.206,95.042,163.85,180.01,2.18,-2.1754,-1.7754,0.0012456
6.59,73.975,94.27,162.7,180.01,2.1811,-2.1757,-1.7757,0.001247
6.592,74.747,93.501,161.55,180.01,2.182,-2.1756,-1.7757,0.0012444
6.594,75.522,92.732,160.39,180.01,2.1829,-2.1751,-1.7757,0.0012372
6.596,76.298,91.964,159.24,180.01,2.1835,-2.1746,-1.7757,0.001226
6.598,77.073,91.196,158.09,180.01,2.184,-2.174,-1.7757,0.0012117
6.6,77.845,90.426,156.94,180,2.1841,-2.1735,-1.7757,0.001195
6.602,78.613,89.656,155.78,180.01,2.1842,-2.173,-1.7757,0.0011645
6.604,79.378,88.884,154.63,180.01,2.1842,-2.1726,-1.7757,0.001113
6.606,80.142,88.112,153.47,180.01,2.1842,-2.1722,-1.7757,0.0010472
6.608,80.907,87.34,152.31,180.01,2.1842,-2.1718,-1.7756,0.00097394
6.61,81.673,86.567,151.15,180.01,2.1842,-2.1715,-1.7756,0.0009
